Gene and Linked Enh,,,Functional annotation,,,,,,,,,,,,,,,,,,,,Astrocyte DE of enhancer genes in disease,,,,,,,ROSMAP DE,,,,,,,
Gene,LinkedEnh,Hit,AstAgeing_CombinedStudies,AstAgeing_Krawczyk2022,AstAgeing_Palmer2021,AstMarkers_Adult_Morabito2021,AstMarkers_AllAges_Herring2022,AstMarkers_CombinedStudies,AstMarkers_Foetal_Zhong2018,AstMarkers_Subtypes_Sadick2022,AstMaturation_CombinedStudies,AstMaturation_Herring2022,AstMaturation_Krawczyk2022,AstMaturation_Zhang2016,Housekeeping_CombinedStudies,Housekeeping_Eisenberg2013,Housekeeping_Lin2019,AstActivation_CombinedStudies,AstActivation_Leng2022_ProtocolKrencik,AstActivation_Leng2022_ProtocolLeng,AstActivation_Leng2022_ProtocolLi,AstActivation_Leng2022_ProtocolTCW,AD_Morabito2021,AD_Sadick2022,ASD_Gandal2022,Epilepsy_Zhang2016,GBM_Zhang2016,MS_Jakel2019,Peritumour_Krawczyk2022,cluster_id,logFC,logCPM,F,p_val,p_adj.loc,p_adj.glb,variable
ENO1,Enh102,TRUE,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,Ast,0.1581849034,7.410191609,12.15440176,6.0683771956769096E-4,1.6518169492289399E-2,1.6518169492289399E-2,gpath_progression
ENO1,Enh102,TRUE,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,Ast,0.1308073485,7.401387492,12.03169983,6.1248908927313101E-4,8.1953874284489692E-3,8.1953874284489692E-3,gpath_trio_third_vs_second
ENO1,Enh102,TRUE,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,Ast,0.159245769,7.418624614,12.19286737,5.8893749697012097E-4,4.2993784961878299E-3,4.2993784961878299E-3,group_fourth_vs_first
ENO1,Enh102,TRUE,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,Ast,0.2063335966,7.405525436,16.63002107,5.49064408470218e-05,8.1019742622339408E-3,8.1019742622339408E-3,ci_num2_mtt
ENO1,Enh102,TRUE,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,Ast,0.06647402604,7.397151522,8.057085213,4.7692735689196398E-3,2.3454545899448499E-2,2.3454545899448499E-2,RUVr_results
ENO1,Enh102,TRUE,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,Ast,0.1201828957,7.421301523,9.233437145,2.6247452360852598E-3,2.3665735735194999E-2,2.3665735735194999E-2,tangles_trio_third_vs_second
FAM107B,Enh124,TRUE,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,,,,,,,,
PSAP,Enh148,TRUE,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,Ast,0.2151034023,8.129401161,56.36251036,9.72464388189571e-13,7.76995314503362e-10,7.76995314503362e-10,nft_trio_third_vs_second
PSAP,Enh148,TRUE,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,Ast,0.078647154,8.137896396,7.714854208,5.8858547466416099E-3,4.1464850456670102E-2,4.1464850456670102E-2,tangles_trio_third_vs_second
PSAP,Enh148,TRUE,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,Ast,-0.09360659298,8.159863768,10.7246772,1.19689551935325E-3,1.1345989377919899E-2,1.1345989377919899E-2,amyloid_trio_second_vs_first
