"","EnhancerID","Gene","Hit","EnhancerCoordinates","Distance","NearestGene","log2fc","P","FDR"
"1","Enh1","CTTNBP2NL",FALSE,"chr1:112388505-112388800",7562,TRUE,-0.0252358093352376,0.4548992,0.933138069349532
"2","Enh1","WNT2B",FALSE,"chr1:112388505-112388800",77889,FALSE,0.0363053875522402,0.0833024,0.654344427530364
"3","Enh1","ST7L",FALSE,"chr1:112388505-112388800",232173,FALSE,0.0595971398218241,0.7011456,0.97637373680244
"4","Enh1","CAPZA1",FALSE,"chr1:112388505-112388800",231153,FALSE,-0.00760841799418663,0.879424,0.993216648980182
"5","Enh1","MOV10",FALSE,"chr1:112388505-112388800",284489,FALSE,0.0382516140251877,0.5220416,0.943425110325581
"6","Enh1","RHOC",FALSE,"chr1:112388505-112388800",318782,FALSE,-0.0399588035314212,0.053472,0.570018040705563
"7","Enh1","LINC01357",FALSE,"chr1:112388505-112388800",461169,FALSE,-0.0138360824645493,0.3413632,0.908890680773143
"8","Enh2","CTTNBP2NL",FALSE,"chr1:112390877-112391209",5171,TRUE,-0.0108353969822936,0.2857472,0.882207246759443
"9","Enh2","WNT2B",FALSE,"chr1:112390877-112391209",75498,FALSE,-0.0253560770491599,0.0573248,0.583801784293194
"10","Enh2","ST7L",FALSE,"chr1:112390877-112391209",229782,FALSE,-0.0117550362795682,0.2602816,0.870027488793841
"11","Enh2","CAPZA1",FALSE,"chr1:112390877-112391209",228762,FALSE,-0.0581879237779207,0.0535232,0.570018040705563
"12","Enh2","MOV10",FALSE,"chr1:112390877-112391209",282098,FALSE,-0.0438681136999581,0.0191104,0.393199096569921
"13","Enh2","RHOC",TRUE,"chr1:112390877-112391209",316391,FALSE,-0.0749780808298028,0.0001792,0.0224260129032258
"14","Enh2","LINC01357",FALSE,"chr1:112390877-112391209",458778,FALSE,0.00493103672008019,0.8395968,0.993216648980182
"15","Enh5","AP4B1",FALSE,"chr1:114346542-114346835",441487,FALSE,0.0182888895752451,0.9887552,0.999499453066495
"16","Enh5","DCLRE1B",FALSE,"chr1:114346542-114346835",441475,FALSE,-0.0123206656644702,0.8708864,0.993216648980182
"17","Enh5","HIPK1",FALSE,"chr1:114346542-114346835",417364,FALSE,-0.0649252798378128,0.3075712,0.893464972220142
"18","Enh5","OLFML3",FALSE,"chr1:114346542-114346835",367297,FALSE,-0.0267839422838305,0.7733824,0.986304083103222
"19","Enh5","TRIM33",FALSE,"chr1:114346542-114346835",164515,FALSE,-0.033512880620681,0.9418304,0.996721243660655
"20","Enh5","BCAS2",FALSE,"chr1:114346542-114346835",234941,FALSE,0.0222112507259031,0.9404352,0.996721243660655
"21","Enh5","DENND2C",FALSE,"chr1:114346542-114346835",323734,FALSE,0.0571815169071843,0.0198208,0.396364915463917
"22","Enh5","NRAS",FALSE,"chr1:114346542-114346835",370083,FALSE,0.0361376315084359,0.6034176,0.964349569186406
"23","Enh5","CSDE1",FALSE,"chr1:114346542-114346835",411988,FALSE,0.023171456634795,0.0411264,0.531832896
"24","Enh5","SIKE1",FALSE,"chr1:114346542-114346835",433997,FALSE,0.0343445170726386,0.4024256,0.922383783192789
"25","Enh6","VANGL1",FALSE,"chr1:116139067-116139346",497236,FALSE,-0.0208064680228186,0.955808,0.996721243660655
"26","Enh6","ATP1A1",FALSE,"chr1:116139067-116139346",233462,FALSE,-0.0452301655902731,0.9513472,0.996721243660655
"27","Enh6","ATP1A1-AS1",FALSE,"chr1:116139067-116139346",279429,FALSE,0.0215223067891819,0.1932032,0.821251949234136
"28","Enh6","CD58",FALSE,"chr1:116139067-116139346",431833,FALSE,0.0186800780237555,0.6243456,0.966762476303788
"29","Enh7","ATP1A1",FALSE,"chr1:116152071-116152365",220450,FALSE,-0.0913476394098486,0.44896,0.92925542427314
"30","Enh7","ATP1A1-AS1",FALSE,"chr1:116152071-116152365",266417,FALSE,0.0185345936882928,0.215712,0.837053666105888
"31","Enh7","CD58",FALSE,"chr1:116152071-116152365",418821,FALSE,0.0249488608807201,0.9843072,0.998882222268688
"32","Enh8","ATP1A1",FALSE,"chr1:116168429-116168662",204122,FALSE,-0.0710286811361929,0.6692288,0.971882071798695
"33","Enh8","ATP1A1-AS1",FALSE,"chr1:116168429-116168662",250089,FALSE,0.0139180342708219,0.9342528,0.996721243660655
"34","Enh8","CD58",FALSE,"chr1:116168429-116168662",402493,FALSE,0.0116522830940579,0.4844544,0.938038606015411
"35","Enh9","ATP1A1-AS1",FALSE,"chr1:116878057-116878640",459713,FALSE,0.00384980102523537,0.9060544,0.994137741461354
"36","Enh9","CD58",FALSE,"chr1:116878057-116878640",307309,FALSE,-0.0186874639684577,0.1379968,0.756690580353357
"37","Enh9","PTGFRN",FALSE,"chr1:116878057-116878640",31568,FALSE,-0.0312432813841143,0.4240384,0.927114240360259
"38","Enh9","TTF2",FALSE,"chr1:116878057-116878640",181978,FALSE,-0.0553380369901571,0.72592,0.982413163190184
"39","Enh9","TRIM45",FALSE,"chr1:116878057-116878640",244239,FALSE,-0.0174530100214872,0.1931264,0.821251949234136
"40","Enh9","MAN1A2",FALSE,"chr1:116878057-116878640",489101,FALSE,-0.0217821039119055,0.6042432,0.964725193011305
"41","Enh10","PTGFRN",FALSE,"chr1:117128696-117128960",218912,FALSE,-0.108457116061897,0.3280384,0.903299586089425
"42","Enh10","TTF2",FALSE,"chr1:117128696-117128960",68502,FALSE,-0.0863480840638563,0.213952,0.837053666105888
"43","Enh10","TRIM45",FALSE,"chr1:117128696-117128960",6241,TRUE,0.00451444585285223,0.773824,0.986380879908001
"44","Enh10","MAN1A2",FALSE,"chr1:117128696-117128960",238621,FALSE,0.0435112277212508,0.4482112,0.92925542427314
"45","Enh13","MINDY1",FALSE,"chr1:151494712-151495132",486547,FALSE,0.00483883861925637,0.6552832,0.969089637804878
"46","Enh13","PRUNE1",FALSE,"chr1:151494712-151495132",486502,FALSE,-0.0163986194391693,0.2650048,0.870692549852507
"47","Enh13","C1orf56",FALSE,"chr1:151494712-151495132",447171,FALSE,-0.050524086348286,0.3671744,0.913859018981772
"48","Enh13","CDC42SE1",FALSE,"chr1:151494712-151495132",424597,FALSE,0.0503306733938726,0.0728128,0.620992843956044
"49","Enh13","MLLT11",FALSE,"chr1:151494712-151495132",437164,FALSE,-0.038813775232942,0.3203648,0.896397577785792
"50","Enh13","GABPB2",FALSE,"chr1:151494712-151495132",424344,FALSE,0.0698490347781315,0.0025728,0.114070601142857
"51","Enh13","SCNM1",FALSE,"chr1:151494712-151495132",338258,FALSE,0.0516682952065779,0.438176,0.92925542427314
"52","Enh13","LYSMD1",FALSE,"chr1:151494712-151495132",328974,FALSE,-0.00296928095527804,0.8881664,0.993601616096579
"53","Enh13","VPS72",FALSE,"chr1:151494712-151495132",299601,FALSE,0.0260100775730527,0.805312,0.993183260686182
"54","Enh13","PIP5K1A",FALSE,"chr1:151494712-151495132",296973,FALSE,0.0752667706957538,0.0273344,0.452212387206823
"55","Enh13","PSMD4",FALSE,"chr1:151494712-151495132",240219,FALSE,0.029135753948616,0.9766976,0.997823734736842
"56","Enh13","ZNF687",FALSE,"chr1:151494712-151495132",213304,FALSE,-0.0464173511382622,0.0715712,0.620992843956044
"57","Enh13","PI4KB",FALSE,"chr1:151494712-151495132",167207,FALSE,-0.0752995442318963,0.3497472,0.910790240743198
"58","Enh13","RFX5",FALSE,"chr1:151494712-151495132",147565,FALSE,-0.00702610892011546,0.823456,0.993216648980182
"59","Enh13","SELENBP1",FALSE,"chr1:151494712-151495132",122215,FALSE,0.00672903789260792,0.5683328,0.95696013861815
